valor,timeStamp
0,2025-06-23 19:31:09.999423
1,2025-06-23 19:31:10.504881
4,2025-06-23 19:31:11.005634
9,2025-06-23 19:31:11.506213
16,2025-06-23 19:31:12.007018
25,2025-06-23 19:31:12.507251
36,2025-06-23 19:31:13.007539
49,2025-06-23 19:31:13.508158
64,2025-06-23 19:31:14.008921
81,2025-06-23 19:31:14.509266
100,2025-06-23 19:31:15.009597
121,2025-06-23 19:31:15.509952
144,2025-06-23 19:31:16.010665
169,2025-06-23 19:31:16.511242
196,2025-06-23 19:31:17.011732
225,2025-06-23 19:31:17.512693
256,2025-06-23 19:31:18.013141
289,2025-06-23 19:31:18.514080
324,2025-06-23 19:31:19.015803
361,2025-06-23 19:31:19.516221
400,2025-06-23 19:31:20.016835
441,2025-06-23 19:31:20.517381
484,2025-06-23 19:31:21.018012
529,2025-06-23 19:31:21.519145
576,2025-06-23 19:31:22.019788
625,2025-06-23 19:31:22.520098
676,2025-06-23 19:31:23.020748
729,2025-06-23 19:31:23.521545
784,2025-06-23 19:31:24.022078
841,2025-06-23 19:31:24.522868
900,2025-06-23 19:31:25.023419
961,2025-06-23 19:31:25.524049
1024,2025-06-23 19:31:26.024520
1089,2025-06-23 19:31:26.525372
1156,2025-06-23 19:31:27.025668
1225,2025-06-23 19:31:27.526228
1296,2025-06-23 19:31:28.026800
1369,2025-06-23 19:31:28.527612
1444,2025-06-23 19:31:29.028360
1521,2025-06-23 19:31:29.528962
1600,2025-06-23 19:31:30.029538
1681,2025-06-23 19:31:30.530098
1764,2025-06-23 19:31:31.030588
1849,2025-06-23 19:31:31.531449
1936,2025-06-23 19:31:32.031898
2025,2025-06-23 19:31:32.532507
2116,2025-06-23 19:31:33.033131
2209,2025-06-23 19:31:33.533965
2304,2025-06-23 19:31:34.034695
2401,2025-06-23 19:31:34.535342
2500,2025-06-23 19:31:35.035752
2601,2025-06-23 19:31:35.536649
2704,2025-06-23 19:31:36.037196
2809,2025-06-23 19:31:36.538118
2916,2025-06-23 19:31:37.038709
3025,2025-06-23 19:31:37.539341
3136,2025-06-23 19:31:38.039925
3249,2025-06-23 19:31:38.540725
3364,2025-06-23 19:31:39.041313
3481,2025-06-23 19:31:39.542015
3600,2025-06-23 19:31:40.042593
3721,2025-06-23 19:31:40.543371
3844,2025-06-23 19:31:41.043867
3969,2025-06-23 19:31:41.544676
4096,2025-06-23 19:31:42.045634
4225,2025-06-23 19:31:42.546258
4356,2025-06-23 19:31:43.046684
4489,2025-06-23 19:31:43.547501
4624,2025-06-23 19:31:44.048129
4761,2025-06-23 19:31:44.548721
4900,2025-06-23 19:31:45.049278
5041,2025-06-23 19:31:45.549694
5184,2025-06-23 19:31:46.050211
