valor,timeStamp
0,2025-06-23 12:16:36.048743
1,2025-06-23 12:16:36.549502
4,2025-06-23 12:16:37.049925
9,2025-06-23 12:16:37.550264
16,2025-06-23 12:16:38.050757
25,2025-06-23 12:16:38.551470
36,2025-06-23 12:16:39.051839
49,2025-06-23 12:16:39.552403
64,2025-06-23 12:16:40.053501
81,2025-06-23 12:16:40.553859
100,2025-06-23 12:16:41.055136
121,2025-06-23 12:16:41.555884
144,2025-06-23 12:16:42.056450
169,2025-06-23 12:16:42.557186
196,2025-06-23 12:16:43.057822
225,2025-06-23 12:16:43.558534
256,2025-06-23 12:16:44.059370
289,2025-06-23 12:16:44.559778
324,2025-06-23 12:16:45.060798
361,2025-06-23 12:16:45.561428
400,2025-06-23 12:16:46.061825
441,2025-06-23 12:16:46.562114
484,2025-06-23 12:16:47.062399
529,2025-06-23 12:16:47.562645
576,2025-06-23 12:16:48.063550
625,2025-06-23 12:16:48.564172
676,2025-06-23 12:16:49.064420
729,2025-06-23 12:16:49.565301
784,2025-06-23 12:16:50.066048
841,2025-06-23 12:16:50.566281
900,2025-06-23 12:16:51.066905
961,2025-06-23 12:16:51.567248
1024,2025-06-23 12:16:52.067547
1089,2025-06-23 12:16:52.567848
1156,2025-06-23 12:16:53.068108
1225,2025-06-23 12:16:53.568484
1296,2025-06-23 12:16:54.068911
1369,2025-06-23 12:16:54.570168
1444,2025-06-23 12:16:55.070860
1521,2025-06-23 12:16:55.571453
1600,2025-06-23 12:16:56.071936
1681,2025-06-23 12:16:56.572254
1764,2025-06-23 12:16:57.072582
1849,2025-06-23 12:16:57.573409
1936,2025-06-23 12:16:58.074030
2025,2025-06-23 12:16:58.574827
2116,2025-06-23 12:16:59.075124
2209,2025-06-23 12:16:59.575842
2304,2025-06-23 12:17:00.076297
2401,2025-06-23 12:17:00.576808
2500,2025-06-23 12:17:01.077135
2601,2025-06-23 12:17:01.577844
2704,2025-06-23 12:17:02.078803
2809,2025-06-23 12:17:02.579381
2916,2025-06-23 12:17:03.080315
3025,2025-06-23 12:17:03.581085
3136,2025-06-23 12:17:04.081727
3249,2025-06-23 12:17:04.582458
3364,2025-06-23 12:17:05.082990
3481,2025-06-23 12:17:05.583367
3600,2025-06-23 12:17:06.083870
3721,2025-06-23 12:17:06.584187
3844,2025-06-23 12:17:07.084574
3969,2025-06-23 12:17:07.584954
4096,2025-06-23 12:17:08.085750
4225,2025-06-23 12:17:08.586489
4356,2025-06-23 12:17:09.087197
4489,2025-06-23 12:17:09.587721
4624,2025-06-23 12:17:10.088491
4761,2025-06-23 12:17:10.589073
4900,2025-06-23 12:17:11.089563
5041,2025-06-23 12:17:11.590258
5184,2025-06-23 12:17:12.091182
5329,2025-06-23 12:17:12.591796
5476,2025-06-23 12:17:13.092262
5625,2025-06-23 12:17:13.592477
5776,2025-06-23 12:17:14.092996
5929,2025-06-23 12:17:14.593920
6084,2025-06-23 12:17:15.094734
6241,2025-06-23 12:17:15.595198
6400,2025-06-23 12:17:16.095548
6561,2025-06-23 12:17:16.596049
6724,2025-06-23 12:17:17.096417
6889,2025-06-23 12:17:17.597108
7056,2025-06-23 12:17:18.097753
7225,2025-06-23 12:17:18.598175
7396,2025-06-23 12:17:19.098690
7569,2025-06-23 12:17:19.599244
7744,2025-06-23 12:17:20.099884
7921,2025-06-23 12:17:20.600363
8100,2025-06-23 12:17:21.100717
8281,2025-06-23 12:17:21.601159
8464,2025-06-23 12:17:22.101723
8649,2025-06-23 12:17:22.602142
8836,2025-06-23 12:17:23.102658
9025,2025-06-23 12:17:23.603063
9216,2025-06-23 12:17:24.103523
9409,2025-06-23 12:17:24.604018
9604,2025-06-23 12:17:25.104384
9801,2025-06-23 12:17:25.604747
10000,2025-06-23 12:17:26.105351
10201,2025-06-23 12:17:26.606157
10404,2025-06-23 12:17:27.106557
10609,2025-06-23 12:17:27.607019
10816,2025-06-23 12:17:28.107686
11025,2025-06-23 12:17:28.608162
11236,2025-06-23 12:17:29.108942
11449,2025-06-23 12:17:29.609420
11664,2025-06-23 12:17:30.110069
11881,2025-06-23 12:17:30.610699
12100,2025-06-23 12:17:31.111244
