_id,Valor,Timestamp de Inicio,Timestamp apos Leitura,timestamp_recebimento
687594e8e9a683cadf6b40d9,0,2025-07-14 20:38:12.209545,2025-07-14 20:38:12.227355,2025-07-14 20:38:16.548
687594e8e9a683cadf6b40dd,0,2025-07-14 20:38:12.309460,2025-07-14 20:38:12.317456,2025-07-14 20:38:16.645
687594e8e9a683cadf6b40cd,0,2025-07-14 20:38:11.832993,2025-07-14 20:38:11.847673,2025-07-14 20:38:16.210
687594e8e9a683cadf6b40d5,0,2025-07-14 20:38:12.124164,2025-07-14 20:38:12.137517,2025-07-14 20:38:16.450
687594e8e9a683cadf6b40d1,0,2025-07-14 20:38:12.009774,2025-07-14 20:38:12.027334,2025-07-14 20:38:16.351
687594e8e9a683cadf6b40e1,0,2025-07-14 20:38:12.420473,2025-07-14 20:38:12.437487,2025-07-14 20:38:16.777
687594e8e9a683cadf6b40e5,0,2025-07-14 20:38:12.509166,2025-07-14 20:38:12.527712,2025-07-14 20:38:16.870
687594e8e9a683cadf6b40e9,0,2025-07-14 20:38:12.609454,2025-07-14 20:38:12.627339,2025-07-14 20:38:16.966
687594e9e9a683cadf6b40ed,0,2025-07-14 20:38:12.719828,2025-07-14 20:38:12.742106,2025-07-14 20:38:17.082
687594e9e9a683cadf6b40f1,0,2025-07-14 20:38:12.809622,2025-07-14 20:38:12.827328,2025-07-14 20:38:17.175
687594e9e9a683cadf6b40f5,0,2025-07-14 20:38:12.921028,2025-07-14 20:38:12.937315,2025-07-14 20:38:17.279
687594e9e9a683cadf6b40f9,0,2025-07-14 20:38:13.009350,2025-07-14 20:38:13.027313,2025-07-14 20:38:17.373
687594e9e9a683cadf6b40fd,0,2025-07-14 20:38:13.121963,2025-07-14 20:38:13.127694,2025-07-14 20:38:17.477
687594e9e9a683cadf6b4101,0,2025-07-14 20:38:13.220403,2025-07-14 20:38:13.237303,2025-07-14 20:38:17.577
687594e9e9a683cadf6b4105,0,2025-07-14 20:38:13.309851,2025-07-14 20:38:13.327426,2025-07-14 20:38:17.673
687594e9e9a683cadf6b4109,0,2025-07-14 20:38:13.409243,2025-07-14 20:38:13.417575,2025-07-14 20:38:17.772
687594e9e9a683cadf6b410d,0,2025-07-14 20:38:13.520964,2025-07-14 20:38:13.537533,2025-07-14 20:38:17.877
687594e9e9a683cadf6b4111,0,2025-07-14 20:38:13.619913,2025-07-14 20:38:13.637311,2025-07-14 20:38:17.978
687594eae9a683cadf6b4115,0,2025-07-14 20:38:13.719627,2025-07-14 20:38:13.737998,2025-07-14 20:38:18.077
687594eae9a683cadf6b4119,0,2025-07-14 20:38:13.819857,2025-07-14 20:38:13.837449,2025-07-14 20:38:18.175
687594eae9a683cadf6b411d,0,2025-07-14 20:38:13.921454,2025-07-14 20:38:13.927459,2025-07-14 20:38:18.278
687594eae9a683cadf6b4121,0,2025-07-14 20:38:14.019732,2025-07-14 20:38:14.037414,2025-07-14 20:38:18.376
687594eae9a683cadf6b4125,0,2025-07-14 20:38:14.132469,2025-07-14 20:38:14.147484,2025-07-14 20:38:18.483
687594eae9a683cadf6b4129,0,2025-07-14 20:38:14.222839,2025-07-14 20:38:14.237470,2025-07-14 20:38:18.581
687594eae9a683cadf6b412d,0,2025-07-14 20:38:14.319380,2025-07-14 20:38:14.342090,2025-07-14 20:38:18.715
687594eae9a683cadf6b4131,0,2025-07-14 20:38:14.419705,2025-07-14 20:38:14.437411,2025-07-14 20:38:18.764
687594eae9a683cadf6b4135,0,2025-07-14 20:38:14.533525,2025-07-14 20:38:14.547474,2025-07-14 20:38:18.905
687594eae9a683cadf6b4139,0,2025-07-14 20:38:14.613885,2025-07-14 20:38:14.627348,2025-07-14 20:38:18.962
687594ebe9a683cadf6b413d,0,2025-07-14 20:38:14.719593,2025-07-14 20:38:14.737382,2025-07-14 20:38:19.072
687594ebe9a683cadf6b4141,0,2025-07-14 20:38:14.820378,2025-07-14 20:38:14.827319,2025-07-14 20:38:19.180
687594ebe9a683cadf6b4145,0,2025-07-14 20:38:14.919971,2025-07-14 20:38:14.937466,2025-07-14 20:38:19.273
687594ebe9a683cadf6b4149,0,2025-07-14 20:38:15.030552,2025-07-14 20:38:15.047540,2025-07-14 20:38:19.384
687594ebe9a683cadf6b414d,0,2025-07-14 20:38:15.109691,2025-07-14 20:38:15.117445,2025-07-14 20:38:19.437
687594ebe9a683cadf6b4151,0,2025-07-14 20:38:15.219650,2025-07-14 20:38:15.237687,2025-07-14 20:38:19.582
687594ebe9a683cadf6b4155,0,2025-07-14 20:38:15.319380,2025-07-14 20:38:15.337329,2025-07-14 20:38:19.677
687594ebe9a683cadf6b4159,0,2025-07-14 20:38:15.432889,2025-07-14 20:38:15.447362,2025-07-14 20:38:19.789
687594ebe9a683cadf6b415d,0,2025-07-14 20:38:15.523021,2025-07-14 20:38:15.537415,2025-07-14 20:38:19.887
687594ebe9a683cadf6b4161,0,2025-07-14 20:38:15.620107,2025-07-14 20:38:15.637417,2025-07-14 20:38:19.979
687594ece9a683cadf6b4165,0,2025-07-14 20:38:15.719782,2025-07-14 20:38:15.737389,2025-07-14 20:38:20.075
687594ece9a683cadf6b4169,0,2025-07-14 20:38:15.820832,2025-07-14 20:38:15.837936,2025-07-14 20:38:20.173
687594ece9a683cadf6b416d,0,2025-07-14 20:38:15.930171,2025-07-14 20:38:15.947312,2025-07-14 20:38:20.288
687594ece9a683cadf6b4171,0,2025-07-14 20:38:16.030175,2025-07-14 20:38:16.047394,2025-07-14 20:38:20.390
687594ece9a683cadf6b4175,0,2025-07-14 20:38:16.119633,2025-07-14 20:38:16.137954,2025-07-14 20:38:20.494
687594ece9a683cadf6b4179,0,2025-07-14 20:38:16.229920,2025-07-14 20:38:16.247523,2025-07-14 20:38:20.587
687594ece9a683cadf6b417d,0,2025-07-14 20:38:16.330833,2025-07-14 20:38:16.347338,2025-07-14 20:38:20.702
687594ece9a683cadf6b4181,0,2025-07-14 20:38:16.430013,2025-07-14 20:38:16.447568,2025-07-14 20:38:20.795
687594ece9a683cadf6b4185,0,2025-07-14 20:38:16.529665,2025-07-14 20:38:16.547540,2025-07-14 20:38:20.896
687594ece9a683cadf6b4189,0,2025-07-14 20:38:16.630749,2025-07-14 20:38:16.647302,2025-07-14 20:38:20.990
687594ede9a683cadf6b418d,0,2025-07-14 20:38:16.729951,2025-07-14 20:38:16.747326,2025-07-14 20:38:21.089
687594ede9a683cadf6b4191,0,2025-07-14 20:38:16.829255,2025-07-14 20:38:16.847342,2025-07-14 20:38:21.281
687594ede9a683cadf6b4195,0,2025-07-14 20:38:16.919319,2025-07-14 20:38:16.927349,2025-07-14 20:38:21.282
687594ede9a683cadf6b4199,0,2025-07-14 20:38:17.029457,2025-07-14 20:38:17.052248,2025-07-14 20:38:21.488
687594ede9a683cadf6b419d,0,2025-07-14 20:38:17.119704,2025-07-14 20:38:17.137349,2025-07-14 20:38:21.489
687594ede9a683cadf6b41a0,0,2025-07-14 20:38:17.219872,2025-07-14 20:38:17.237401,2025-07-14 20:38:21.694
687594ede9a683cadf6b41a3,0,2025-07-14 20:38:17.320165,2025-07-14 20:38:17.337352,2025-07-14 20:38:21.694
687594ede9a683cadf6b41a7,0,2025-07-14 20:38:17.429906,2025-07-14 20:38:17.447335,2025-07-14 20:38:21.792
687594ede9a683cadf6b41ab,0,2025-07-14 20:38:17.519697,2025-07-14 20:38:17.537363,2025-07-14 20:38:21.885
687594ede9a683cadf6b41af,0,2025-07-14 20:38:17.620482,2025-07-14 20:38:17.637350,2025-07-14 20:38:21.992
