_id,Valor,Timestamp
68596fc0fdd56383cba90a36,999,2025-06-23 12:16:16.375640
68596fc0fdd56383cba90a3a,999,2025-06-23 12:16:16.877106
68596fc1fdd56383cba90a3e,999,2025-06-23 12:16:17.877474
68596fc2fdd56383cba90a42,999,2025-06-23 12:16:18.377762
68596fc3fdd56383cba90a46,999,2025-06-23 12:16:19.378496
68596fc3fdd56383cba90a4a,999,2025-06-23 12:16:19.878695
68596fc4fdd56383cba90a4e,999,2025-06-23 12:16:20.879377
68596fc5fdd56383cba90a52,999,2025-06-23 12:16:21.379845
68596fc6fdd56383cba90a56,999,2025-06-23 12:16:22.380428
68596fc6fdd56383cba90a5a,999,2025-06-23 12:16:22.880774
68596fc7fdd56383cba90a5e,999,2025-06-23 12:16:23.881121
68596fc8fdd56383cba90a62,999,2025-06-23 12:16:24.381441
68596fc9fdd56383cba90a66,999,2025-06-23 12:16:25.381897
68596fc9fdd56383cba90a6a,999,2025-06-23 12:16:25.882074
68596fcafdd56383cba90a6e,999,2025-06-23 12:16:26.882593
68596fcbfdd56383cba90a72,999,2025-06-23 12:16:27.383245
68596fccfdd56383cba90a76,999,2025-06-23 12:16:28.387247
68596fccfdd56383cba90a7a,999,2025-06-23 12:16:28.888695
68596fcdfdd56383cba90a7e,999,2025-06-23 12:16:29.889322
68596fcefdd56383cba90a82,999,2025-06-23 12:16:30.389928
68596fcffdd56383cba90a86,999,2025-06-23 12:16:31.390441
68596fcffdd56383cba90a8a,999,2025-06-23 12:16:31.890891
68596fd0fdd56383cba90a8e,999,2025-06-23 12:16:32.891230
68596fd1fdd56383cba90a92,999,2025-06-23 12:16:33.391724
68596fd2fdd56383cba90a96,999,2025-06-23 12:16:34.391979
68596fd2fdd56383cba90a9a,999,2025-06-23 12:16:34.892308
68596fd3fdd56383cba90a9e,999,2025-06-23 12:16:35.893094
68596fd4fdd56383cba90aa2,0,2025-06-23 12:16:36.393569
68596fd5fdd56383cba90aa6,4,2025-06-23 12:16:37.393825
68596fd5fdd56383cba90aaa,9,2025-06-23 12:16:37.894465
68596fd6fdd56383cba90aae,25,2025-06-23 12:16:38.895071
68596fd7fdd56383cba90ab2,36,2025-06-23 12:16:39.395304
68596fd8fdd56383cba90ab6,64,2025-06-23 12:16:40.395575
68596fd8fdd56383cba90aba,81,2025-06-23 12:16:40.895612
68596fd9fdd56383cba90abe,121,2025-06-23 12:16:41.895919
68596fdafdd56383cba90ac2,144,2025-06-23 12:16:42.396454
68596fdbfdd56383cba90ac6,196,2025-06-23 12:16:43.396923
68596fdbfdd56383cba90aca,225,2025-06-23 12:16:43.897373
68596fdcfdd56383cba90ace,289,2025-06-23 12:16:44.898029
68596fddfdd56383cba90ad2,324,2025-06-23 12:16:45.398704
68596fdefdd56383cba90ad6,400,2025-06-23 12:16:46.399081
68596fdefdd56383cba90ada,441,2025-06-23 12:16:46.899481
68596fdffdd56383cba90ade,529,2025-06-23 12:16:47.899859
68596fe0fdd56383cba90ae2,576,2025-06-23 12:16:48.400333
68596fe1fdd56383cba90ae6,676,2025-06-23 12:16:49.400654
68596fe1fdd56383cba90aea,729,2025-06-23 12:16:49.901423
68596fe2fdd56383cba90aee,841,2025-06-23 12:16:50.902181
68596fe3fdd56383cba90af2,900,2025-06-23 12:16:51.402565
68596fe4fdd56383cba90af6,1024,2025-06-23 12:16:52.403174
68596fe4fdd56383cba90afa,1089,2025-06-23 12:16:52.903710
68596fe5fdd56383cba90afe,1225,2025-06-23 12:16:53.904394
